Epoch,Error_East_m,Error_North_m,Error_Up_m,Error_2D_m,Error_3D_m
1,46.808683499659686,2.2746318394426064,25.469992420278064,46.86391790040947,53.33804753518206
2,46.91194611093949,3.6964311550910556,23.16785900689339,47.05735108567012,52.45134871634199
3,46.01474914790705,3.532729345106021,23.70003042611842,46.15016051727866,51.879945624195905
4,44.99641877387708,4.326020769326257,22.285109102947864,45.20389538713185,50.39859368971569
5,44.616460557352454,7.298120270172631,17.91326697887051,45.209413976999215,48.62896509283314
6,43.79531169152918,7.80443608458879,17.648375831386257,44.48526215227493,47.858162503824595
7,43.22723004636524,7.892874409249978,17.475186520971544,43.94190350817287,47.2892485440858
8,44.00085487924902,8.838285729206813,15.88740437913785,44.879734009192084,47.608824209825656
9,41.729974783517584,10.130930838027844,15.500227274037053,42.94213030437494,45.65395492862277
10,41.61453254255263,11.210244275602632,13.686671694904168,43.09801498275592,45.21906542088132
11,41.50841393985234,13.003835338741757,11.091722984272241,43.49767995329449,44.88958097464344
12,41.25126869222011,13.180508042717218,18.155597351201784,43.30580747407756,46.957626389765885
13,2.3915712763936394,-31.771889149198543,104.31192921937699,31.86177260101878,109.06947845638278
14,7.393333902549868,-34.83439115451904,108.01063314390638,35.610338292420465,113.72947316086606
15,3.1769997626065356,-37.96561189621929,101.40786906660692,38.09830723465217,108.32837542756765
16,5.351299194201984,-37.45556891793404,99.80168663413687,37.835909478060294,106.73299724569918
17,2.7888993536834437,-37.5968838525086,100.06695164152397,37.70018083542833,106.93314942454045
18,40.92391096718364,10.280996709691166,14.922071288733392,42.19556116695989,44.75638048078391
19,48.85194363279519,14.27246237998269,4.5046885460364505,50.89416055983063,51.09312867682514
20,42.33410561532243,10.736294826907063,9.913879645715019,43.67430050795943,44.785371880662865
21,42.234809995610014,9.764263027529982,12.50022810082254,43.348817836661574,45.11513837293045
22,36.22490985382445,9.80317534909753,17.65235374148989,37.52794080205922,41.47230320897977
23,45.88829551452069,11.660310190340262,11.456270608425138,47.34657853491562,48.71287956194335
24,41.31963094796681,10.366493352274038,13.863753441976566,42.600188803559526,44.79932751279683
25,41.505715601648106,9.27956469310439,13.27216607730913,42.53039793487012,44.55317206307627
26,41.638872266041965,9.85215872892277,10.69780123281186,42.78855822772775,44.105596769847686
27,40.76157697510537,8.466120879802794,12.589209888610952,41.63149481160715,43.493327831615424
28,40.60178249597733,9.07274572935184,11.541011773206337,41.60311835572092,43.17423316828465
29,39.69738757413144,8.657660307775414,13.042178047410047,40.63050162397254,42.672427519839786
30,39.91240651465816,9.032675004567094,12.67321812660579,40.92174741539586,42.83923282709423
31,40.25621356258939,9.197965363299538,12.326936881724372,41.29364717751707,43.09429974030533
32,40.274471154944955,9.028289908638886,12.306094836784581,41.27399963033537,43.06951376109162
33,41.604720408449296,9.538550279360841,14.182507824703258,42.684150474117814,44.97866416307738
34,39.58241350531301,8.895302479554985,14.36896393658508,40.56961751247309,43.03906353208961
35,40.548847296106125,9.49615359748298,15.81883052873703,41.645959590216215,44.5490892105195
36,41.50179979660217,10.313229159004205,11.431552173758487,42.764027897794925,44.26559010275075
37,14.233373888263058,-23.896030822268713,72.48468783868267,27.813831474680093,77.63787215253376
38,29.569212657182124,-4.952714293818501,37.909111028451946,29.981122661465722,48.33185714422063
39,33.506293755250184,0.00537501749155922,28.634406942691495,33.50629418637535,44.074947658092455
40,34.6697975461405,1.0190214806869893,26.222178029993117,34.68476995265316,43.48144302234144
41,35.21771547056089,1.8416314094185928,25.22177994364397,35.26583458835961,43.356859581145194
42,35.77656056344614,1.843436629382711,25.129217089913844,35.82402188973873,43.7588630554828
43,35.644316530556075,1.8862104948405376,25.353777371334353,35.694188476015526,43.78229228759619
44,35.6944979841088,1.8149259227443224,25.136522494614923,35.74060915041316,43.69480410260331
45,36.51342982024731,2.2772714902087285,23.460446627116724,36.584375390024675,43.46043118311225
46,36.104388263839716,1.7609526133038624,23.24708514392148,36.14730703679582,42.977375137403676
47,36.43711834164928,2.0500760137962097,21.93584895189691,36.49474489163744,42.57989988182375
48,36.746607957717785,2.2169617039244214,22.545569088979175,36.81342303555695,43.16863214349985
49,35.68501518999566,1.9859623956773667,23.32461991863643,35.74023441091658,42.67788947565375
50,35.518320894155124,1.755168230311086,23.393819262361596,35.561661022186094,42.566448223182896
51,35.7968041225537,2.0818610347411877,23.080812542007276,35.857291179848644,42.643513438220964
52,37.865968994337656,2.3776449325274185,21.58667255395094,37.94054300224648,43.651680783869175
53,39.98421803038542,2.6795332015393756,20.62359528416977,40.07390160290797,45.069393962253145
54,38.55168487033581,2.1655674783744305,22.19396770368751,38.61246027961793,44.53643779286121
55,38.72544572960059,1.7649866239866383,22.860259039315793,38.765646192719295,45.004075016421694
56,39.355669887637276,0.9892204516953731,24.77969206267496,39.36810014982603,46.51752839659184
57,40.80404887194888,0.5250643222151474,26.663172229026053,40.807426981946016,48.74598291348285
58,41.574355933293305,0.2967976514447921,27.63639816789248,41.575415333031415,49.92279703510566
59,41.75146124334899,0.045881873761942416,27.84378900564567,41.75148645379243,50.18429243590197
60,41.78718464382623,-0.6825191630281884,29.500161189832436,41.79275813900211,51.155587603811405
61,42.55084683591421,-0.2213355031589197,28.68249188580606,42.551422489246924,51.31577629382332
62,43.182998524117984,-1.409746818925539,31.638524629357896,43.206003606298125,53.55142377518951
63,39.812720999707096,-4.395485172765708,39.37741441841692,40.05462574166087,56.16897550769704
64,40.321452346758534,-2.929325399136875,35.31662805858451,40.42771903837697,53.68113899755059
65,40.34354292742438,-1.835037987272928,32.02288795857238,40.385254986834845,51.5406070352198
66,41.9775450784598,-0.7700345675528233,31.50371292847938,41.984607227522694,52.48991495829832
67,38.09027208255999,0.49186475283455877,27.067615991197798,38.09344770769023,46.73078849864912
68,39.06364048275972,2.218637105638523,23.68652374958603,39.12659400424244,45.73774989778709
69,40.65299123586577,3.62982000350787,25.288740748615165,40.81471903224675,48.01418226245152
70,38.67268586786041,3.45393847463275,21.087626914248318,38.826618745659,44.183643264168346
71,38.88112244110204,3.5992414700353503,21.349177520744973,39.047358699911975,44.502624666999964
72,37.18389168417691,2.727186302390029,19.370343691083374,37.283767860941104,42.01534910743023
73,37.73168050063922,2.6161671619803357,19.753009807718737,37.82226915484768,42.66972510440599
74,37.54030166391175,2.708406698885499,17.830975705329774,37.63787608067255,41.64797006419549
75,39.18654254138728,2.2218305383279073,20.119077778243803,39.24947957984923,44.10554316563878
76,39.495487899094776,2.7567578181182437,23.896324724900015,39.591580898662,46.24421708076768
77,37.634583481560774,3.3463852039936164,19.269935373796024,37.78306720958576,42.41333018137517
78,36.90738357530283,3.4206751073789956,22.11187721466768,37.06556327057199,43.16006365288767
79,37.501572533308014,2.998786639723935,22.01274002590432,37.62127940117865,43.58808767575837
80,37.74600984654145,2.867372240875566,22.655243849880165,37.85476301475084,44.11624595090204
81,37.93889264834949,3.1965812983517523,20.88532474427366,38.07332015178029,43.425505144485406
82,37.85834355013064,2.8365904271848503,22.40664655282795,37.96446261454671,44.08353696511512
83,36.93232350109423,2.464831323654055,24.84771139476561,37.01448247164269,44.58116950239314
84,34.16131908156845,2.428141549176666,28.373131402992055,34.247504913140325,44.47388198018051
85,33.58005912648524,1.9505115901285244,30.62049434063416,33.63665956068572,45.48669629755803
86,32.651435797447206,1.8651433194164673,31.264024938162763,32.70466357015129,45.2441628784404
87,31.965485456459753,1.9048743358145872,31.42327575376162,32.02219240936487,44.8647196112862
88,39.528715555690376,2.255022193388718,21.921744944437698,39.59298521929553,45.256683263185934
89,38.053496583362104,2.3628783821577466,23.12939096746182,38.12678581350413,44.59395164138881
90,34.15500516307987,1.634011027663112,32.66246209654233,34.194069218631135,47.28711029378515
91,32.46410991110886,1.7623428078477863,32.475036315824916,32.51190988688498,45.95271774560321
92,33.634162896900506,1.7012259629522717,32.47831378894699,33.67715967168641,46.786664233791726
93,33.572630238150666,2.30786109511806,30.582285736906293,33.65186063120356,45.472232459334236
94,34.44862254432014,2.6019636793063197,28.940884367570327,34.54674818545836,45.06720091337543
95,34.278086614637296,2.463514257580502,28.82925211062446,34.366497122312,44.85735058734325
96,33.18657029876022,1.8749235620906068,30.60142333170491,33.239491370329915,45.180868699975775
97,33.57036503078253,1.4882282300522762,29.93379770547633,33.60333661356728,45.00240523168836
98,35.26382554119991,4.089722885075615,24.939264259439334,35.500186268199975,43.384676175800166
99,35.35844629418325,4.167575093017798,25.059500364787922,35.60320781186133,43.53810934144235
100,37.52328098051241,4.948798181496552,20.540360481608705,37.84821289022334,43.062670930843346
101,36.351130882167396,4.631002867453412,22.627187351663288,36.644930126428484,43.067859378173154
102,35.92248223595263,4.464407957014076,24.082050506822974,36.19883518014057,43.47758991724536
103,35.99228159193717,4.648652674443178,25.666712415939738,36.291242826347336,44.450359190038746
104,36.91296798452526,4.801421801350851,23.728608286520977,37.223928550612094,44.143716517260145
105,41.22558705309652,6.672682226738626,14.68764581736932,41.762108615004976,44.269635819915656
106,35.11113664863835,1.2172888253773406,30.782430685403497,35.132231765769504,46.71008186404102
107,35.13783926918451,2.071037106823816,29.282954652508703,35.19882019620666,45.78698916052208
108,35.307955596653784,2.069435556601495,28.4637282222653,35.368549474613765,45.39953872286792
109,36.25512310851013,2.847041893058564,26.828394916998946,36.36673753794882,45.19183967240669
110,35.12559615835748,3.193854272078159,28.38322530748743,35.270500571884284,45.27268149167757
111,35.88540302817124,2.6088982519836748,26.70661361188338,35.98011257046711,44.80861202043553
112,38.32907287214059,3.527913209398739,22.388888061886313,38.49108986312175,44.52893786627511
113,38.25821164692846,2.98683041626252,23.72381449962646,38.3746259181335,45.115754330049384
114,37.879838564557645,2.7280669397081336,24.920937410666976,37.97794779743209,45.42441678580868
115,38.436162434032326,2.4382685702680407,24.644635013656707,38.513422806549855,45.723536294040386
116,38.34459117680426,2.3655721619041827,27.789760226929918,38.41749086248907,47.41491724805272
117,38.82781782930185,2.352038001944721,23.287693638355726,38.89899124846354,45.337051019469236
118,38.463222411883685,2.346418196035148,24.436910544886658,38.53472663269737,45.62989977674188
119,38.20453886041278,3.8894810208124504,27.132425874920333,38.402016251077896,47.020031752499875
120,41.840378630780364,3.673441775147427,27.94898842849198,42.00132686526058,50.45054422519582
121,38.773848536961395,3.4135474166911055,24.447749321557012,38.92381836784801,45.964726510911746
122,39.33831107345846,3.8402756927947084,22.096743225218106,39.525313857183406,45.28262908301678
123,39.50142550846118,3.7052212653972285,23.360660296816725,39.6748192412525,46.04141322037508
124,38.5691058636006,3.311024684512179,23.718800826138796,38.71096500449296,45.39956303984788
125,37.96957505457918,2.5959902216645308,24.70201458390585,38.058215868013306,45.371988269854306
126,37.060422963405614,2.4709028337867567,23.793665507825096,37.14270198895791,44.110302983983274
127,41.10620940551726,2.085832895644761,27.604132153479995,41.15909559937863,49.55864467986971
128,43.08191343613854,1.9156412424862603,28.311169061342124,43.124481987484195,51.587239122759264
129,43.54626768877904,1.6622800388504322,28.554033092832306,43.577983025265894,52.09964885118636
130,43.52813813942636,1.8002517007181327,28.062371565905284,43.56534994776149,51.82119657026313
131,43.96815336817248,0.48320486267516394,31.40492711176406,43.970808470466515,54.034261764566224
132,43.504238131027286,1.1326728084061113,30.045397257702536,43.51898072165789,52.883150241123026
133,51.69789163552065,0.39015104357344477,38.69515776258374,51.69936380067783,64.57661691096926
134,45.53113109416887,-0.051152382038393895,32.92314355673404,45.531159827974726,56.18736421062922
135,45.09113853459542,0.16895858166408573,31.959002744684593,45.09145508129444,55.26859124116655
136,46.40933663270037,-0.32463392002675917,33.47498750808366,46.41047202808151,57.22330558903158
137,46.90558115487349,1.801078081542597,28.8680519623992,46.940147270031396,55.10664070541786
138,40.6869577565273,2.3545104278374627,26.829853280848106,40.75502730751425,48.793578244560706
139,39.068526409426106,3.869809950969394,22.90488754131197,39.25971452851697,45.45282233416089
140,39.10547661399277,4.132440435755248,21.973929344560144,39.323216617700545,45.04629769473094
141,39.279045461012004,4.354229269802193,22.0243762385466,39.51964985753606,45.24241233134354
142,39.69331952087915,4.588448049046352,23.246368870586128,39.95764595275106,46.227774505731496
143,38.25891805474738,4.2495857847970395,19.66030786063018,38.49420462955722,43.22420034236586
144,37.93628341354905,3.7553618862789975,19.615784381938578,38.12170434450739,42.87240766563897
145,38.09240890550538,3.7332482835443432,19.65396619653188,38.27491030650251,43.0261216730631
146,37.85321990830024,3.508350984819467,20.27008513196799,38.01545454231504,43.081911927351264
147,37.815292579820486,3.4944712758145346,20.94683997469651,37.97640955112686,43.37024080311824
148,38.16449000952481,3.9915481338298076,20.007717383093713,38.37265633484082,43.27550703427459
149,38.05736637169084,3.8778805270972203,20.850499099040924,38.254425790116684,43.567699103930785
150,38.06002565282665,3.941872664988212,20.94763411404265,38.263610817600636,43.62232556589123
151,36.919370881641285,3.0766019985726274,23.059552957591844,37.047340338461595,43.637694814893536
152,36.378177102902114,2.6571460695050426,24.10825640041997,36.47509005560915,43.72230805016117
153,32.547336245837215,0.32498369226625456,31.488907203181324,32.54895867919323,45.28781279715761
154,31.482228383667437,0.4440425328430688,33.23873364925461,31.48535973706461,45.78363563958699
155,30.73245411396192,0.05328145059204559,34.47080601408959,30.73250030146835,46.18141446556988
156,29.745167677999582,0.07462478940744965,36.29679408045051,29.745261287329537,46.92800687830384
157,29.81519517585739,-0.31295748463230844,35.955352771370535,29.8168376217475,46.71007598661514
158,35.29487307141139,3.540909608542833,25.479400610213034,35.47204682539354,43.67454592137892
159,37.84751310530925,3.901202526730634,20.42961169376595,38.048043700184174,43.18590815728185
160,32.02770926838371,3.0498253974628984,31.414974391449846,32.17259075572127,44.96638980339172
161,37.738879279142274,3.8769117611771016,20.077531457110595,37.93749404019231,42.92272968324467
162,37.22845861021772,3.4597302302154285,21.039328214724996,37.38887352887969,42.90199523898025
163,37.07674840932169,3.4103240128588403,21.098331844077883,37.23325909023839,42.79550430925719
164,36.58837014026902,2.972686396098167,22.39441992602407,36.70893207287399,43.00064810853414
165,36.64492000264223,2.9426053546034305,22.819320658208,36.762876496174634,43.269278750345585
166,36.66582728119041,3.0293425307357627,22.56581631461404,36.79075707813868,43.15988730670543
167,35.807744927247384,2.161008048427446,24.96559869435365,35.87289439897733,43.7052133129183
168,36.03721561175787,2.041668721584685,24.854818674153293,36.0950040894446,43.824779880132446
169,35.69621931380802,2.2657252032917237,24.691410565725008,35.768052560858166,43.46285011042774
170,31.254774089678804,0.9368020602433118,33.421857054001705,31.268810362675037,45.768537560589124
171,29.296266686916056,-2.708618784786237,43.73134601107417,29.42121441260038,52.707100863664444
172,29.007629777863027,-5.66770675885984,49.98723481465489,29.556141243978235,58.071414048991755
173,30.390403856617528,-6.7464139673492305,50.49808798774255,31.13022242110002,59.322404185981426
174,27.959296911007037,-6.702615174015273,57.0647573480306,28.75147533482043,63.89862177792569
175,28.013991565877323,-7.313839651992617,56.46145477006375,28.952995940111364,63.452122491371874
176,25.459832771212973,-7.469946391189167,59.86490925790004,26.53305832024213,65.48137555276291
177,20.191218769241402,-8.077202956012098,57.82388039453036,21.746873866833756,61.77805165963823
178,8.041036437474075,-15.374614984057516,74.76250440145647,17.350419386769637,76.74939164107158
179,10.386316243729993,-16.72412538164982,72.6158375710383,19.68684674842351,75.2371703417887
180,11.693917997450502,-18.24642886163741,76.12594961553157,21.672099213825398,79.15074282153226
181,21.004145274347017,-17.223348807335984,69.74221705718696,27.162802926889484,74.84513813800343
182,22.459669111198522,-9.298253931152281,56.78023144184071,24.308316740422686,61.76478726055576
183,20.851014092785622,-11.715884063835786,54.49972658594774,23.917080258568056,59.51677852536917
184,21.347740710751054,-11.659081252269868,61.512536320258015,24.32406645897204,66.14720200924262
185,18.560150517747125,-15.385113841400567,61.09885447896681,24.10769410695026,65.68295771199898
186,17.679212857570754,-13.868120929151594,66.6410319852944,22.46952036356957,70.32713906760249
